area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSExh	RSTot	RSWri	178:MICHELLE BRAVO	179:LONDON BREED	180:MARK LENO	181:JANE KIM	182:RICHIE GREENBERG	183:ANGELA ALIOTO	184:AMY FARAH WEISS	185:ELLEN LEE ZHOU	200:ANTOINE R. ROGERS
PCT7316	ED	824	122	0	0	3	2	0	117	1	2	25	34	37	3	11	1	3	0
PCT7316	MV	824	266	-1	0	1	3	0	263	0	0	78	51	83	6	17	1	27	0
PCT7317	ED	886	117	-1	0	0	1	0	117	0	0	33	31	38	2	10	1	2	0
PCT7317	MV	886	340	1	0	2	3	0	334	0	1	114	98	66	14	25	1	15	0
PCT7318	ED	709	123	0	0	0	2	0	121	0	0	39	28	35	4	12	1	2	0
PCT7318	MV	709	243	-2	0	1	2	0	242	0	0	81	62	63	5	9	0	22	0
PCT7319	ED	1035	182	-1	0	2	0	0	181	0	0	66	42	46	7	13	2	5	0
PCT7319	MV	1035	296	0	0	1	4	0	291	0	1	113	64	66	15	21	2	9	0
PCT7321	ED	644	100	-1	0	0	2	0	99	0	0	29	21	32	2	9	0	6	0
PCT7321	MV	644	211	1	0	1	0	0	209	0	0	62	52	45	4	13	1	32	0
PCT7322	ED	859	60	0	0	0	1	0	59	0	0	24	7	16	1	3	0	8	0
PCT7322	MV	859	304	-6	0	3	2	0	305	0	2	78	67	91	4	6	0	57	0
PCT7323	ED	881	146	1	0	1	1	0	143	1	0	53	40	27	3	11	2	6	0
PCT7323	MV	881	273	-1	0	0	7	0	267	1	0	86	84	51	13	18	0	14	0
PCT7324	ED	687	125	0	0	0	4	0	121	0	0	31	29	37	4	13	1	6	0
PCT7324	MV	687	198	-2	0	1	1	0	198	1	0	70	48	48	6	11	0	14	0
PCT7325	ED	870	150	0	0	1	2	0	147	0	1	56	33	42	3	9	1	2	0
PCT7325	MV	870	276	0	0	0	5	0	271	1	0	103	54	73	7	21	2	10	0
PCT7326	ED	853	150	0	0	1	3	0	146	0	0	38	36	59	3	4	0	6	0
PCT7326	MV	853	256	-3	0	0	4	0	255	0	1	87	50	72	9	11	0	25	0
PCT7327	ED	684	62	0	0	0	1	0	61	0	0	14	13	24	0	5	0	5	0
PCT7327	MV	684	277	-5	0	1	1	0	280	1	0	78	51	83	4	8	2	53	0
PCT7328	ED	950	70	0	0	1	1	0	68	0	0	18	18	20	0	6	0	6	0
PCT7328	MV	950	391	-2	0	2	2	0	389	0	0	122	78	110	9	13	0	57	0
PCT7329	ED	610	71	-1	0	0	0	0	72	0	0	22	13	17	8	10	2	0	0
PCT7329	MV	610	205	-4	0	1	1	0	207	0	0	76	42	39	16	22	1	11	0
PCT7331	ED	860	130	0	0	0	0	0	130	1	0	38	35	28	5	21	2	0	0
PCT7331	MV	860	357	0	0	1	8	0	348	3	3	117	132	34	23	35	0	1	0
PCT7332	ED	799	154	0	0	0	4	0	150	1	0	36	43	58	0	11	1	0	0
