area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	22:PAUL MIYAMOTO
PCT7533	TO	936	476	0	0	178	0	298	0	298
PCT7534	ED	881	153	0	0	70	0	83	0	83
PCT7534	MV	881	237	0	0	92	0	145	0	145
PCT7534	TO	881	390	0	0	162	0	228	0	228
PCT7536	ED	1594	318	0	0	117	0	201	0	201
PCT7536	MV	1594	495	0	0	166	0	329	0	329
PCT7536	TO	1594	813	0	0	283	0	530	0	530
PCT7537	ED	1472	301	0	0	98	0	203	0	203
PCT7537	MV	1472	437	0	0	150	0	287	0	287
PCT7537	TO	1472	738	0	0	248	0	490	0	490
PCT7539	ED	906	233	0	0	92	0	141	0	141
PCT7539	MV	906	279	0	0	113	0	166	0	166
PCT7539	TO	906	512	0	0	205	0	307	0	307
PCT7541	ED	769	136	0	0	51	0	85	0	85
PCT7541	MV	769	247	0	0	88	0	159	0	159
PCT7541	TO	769	383	0	0	139	0	244	0	244
PCT7543	ED	1718	252	0	0	104	0	148	0	148
PCT7543	MV	1718	549	0	0	192	0	357	0	357
PCT7543	TO	1718	801	0	0	296	0	505	0	505
PCT7544	ED	892	152	0	0	54	0	98	0	98
PCT7544	MV	892	281	0	0	106	0	175	0	175
PCT7544	TO	892	433	0	0	160	0	273	0	273
PCT7545	ED	877	139	0	0	53	0	86	0	86
PCT7545	MV	877	277	0	0	72	0	205	0	205
PCT7545	TO	877	416	0	0	125	0	291	0	291
PCT7546	ED	1900	340	0	0	117	0	223	0	223
PCT7546	MV	1900	670	0	0	220	0	450	0	450
PCT7546	TO	1900	1010	0	0	337	0	673	0	673
PCT7548	ED	1027	198	0	0	68	0	130	0	130
PCT7548	MV	1027	322	0	1	98	0	223	0	223
PCT7548	TO	1027	520	0	1	166	0	353	0	353
PCT7549	ED	799	135	0	0	43	0	92	0	92
PCT7549	MV	799	286	0	0	106	0	180	0	180
PCT7549	TO	799	421	0	0	149	0	272	0	272
PCT7552	ED	685	136	0	0	35	0	101	0	101
PCT7552	MV	685	213	0	0	64	0	149	0	149
PCT7552	TO	685	349	0	0	99	0	250	0	250
PCT7553	ED	182	1	0	0	0	0	1	0	1
PCT7553	MV	182	81	0	0	23	0	58	0	58
PCT7553	TO	182	82	0	0	23	0	59	0	59
PCT7554	ED	795	135	0	0	35	0	100	0	100
PCT7554	MV	795	311	0	0	98	0	213	0	213
PCT7554	TO	795	446	0	0	133	0	313	0	313
PCT7555	ED	1584	340	0	0	84	0	256	0	256
PCT7555	MV	1584	565	0	0	180	0	385	0	385
PCT7555	TO	1584	905	0	0	264	0	641	0	641
PCT7556	ED	958	147	0	0	39	0	108	0	108
PCT7556	MV	958	400	0	0	96	0	304	0	304
PCT7556	TO	958	547	0	0	135	0	412	0	412
PCT7601	ED	677	81	0	0	31	0	50	0	50
PCT7601	MV	677	151	0	0	40	0	111	0	111
PCT7601	TO	677	232	0	0	71	0	161	0	161
PCT7602	ED	1659	176	0	0	61	0	115	0	115
PCT7602	MV	1659	383	0	0	121	0	262	0	262
PCT7602	TO	1659	559	0	0	182	0	377	0	377
PCT7605	ED	1508	114	0	0	28	0	86	0	86
PCT7605	MV	1508	444	0	2	114	0	328	0	328
PCT7605	TO	1508	558	0	2	142	0	414	0	414
PCT7606	ED	887	74	0	0	17	0	57	0	57
PCT7606	MV	887	180	0	0	46	0	134	0	134
PCT7606	TO	887	254	0	0	63	0	191	0	191
PCT7607	ED	900	86	0	1	24	0	61	0	61
PCT7607	MV	900	236	0	1	75	0	160	0	160
PCT7607	TO	900	322	0	2	99	0	221	0	221
PCT7608	ED	1300	102	0	0	30	0	72	0	72
PCT7608	MV	1300	279	0	0	72	0	207	0	207
PCT7608	TO	1300	381	0	0	102	0	279	0	279
PCT7611	ED	763	65	0	0	14	0	51	0	51
PCT7611	MV	763	190	0	0	48	0	142	0	142
PCT7611	TO	763	255	0	0	62	0	193	0	193
PCT7613	ED	1421	139	0	1	53	0	85	0	85
